pool_id,dex,percentage
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb__pancakeswap__3,10.9
0x09f9789cf2dba13e6e1ce8cfdcd3f751d2917fc5,bnb__pancakeswap__3,10.9
0xfdee3d8414ac5e78183ac59c0b13acfd3fd0b058,bnb__pancakeswap__3,10.9
0xf95f84e2bad9c234f93dd66614b82f9a854b452e,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,bnb__pancakeswap__3,10.9
0xbe141893e4c6ad9272e8c04bab7e6a10604501a5,bnb__pancakeswap__3,10.9
0xb2af49dbf526054faf19602860a5e298a79f3d05,bnb__pancakeswap__3,10.9
0xf7fa35f69157f9e87fd92cc0a18ec30f00c67e63,bnb__pancakeswap__3,10.9
0xbd39ff5d16c9eb68d2e9c94a0303feefe0b5410f,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x2706763e5585f8d123229191a9da4fd4c441aefd,bnb__pancakeswap__3,10.9
0x799c256edb156e2b2678c9b3605330dd12b2ef86,bnb__pancakeswap__3,10.9
0x69b48cd1c318e053687a617ccda3e68c3a6ce83f,bnb__pancakeswap__3,10.9
0x6dafbf0ab4fd72e2a5c0ad5a1ed277d3bf8a8d1f,bnb__pancakeswap__3,10.9
0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,bnb__pancakeswap__3,10.9
0x560a3375c67c8ad4c13018c87633e6066477151f,bnb__pancakeswap__3,10.9
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb__pancakeswap__3,10.9
0x9749eaa540bd24931c3392489dca21405163e88b,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xb2af49dbf526054faf19602860a5e298a79f3d05,bnb__pancakeswap__3,10.9
0x329ff5e891629ced58114bf718125de1559fcbaf,bnb__pancakeswap__3,10.9
0xb323f5df0b737a8c19d30b30f5ca6423e88ddf8e,bnb__pancakeswap__3,10.9
0x247f51881d1e3ae0f759afb801413a6c948ef442,bnb__pancakeswap__3,10.9
0xc95b8dbbf2fc4cc868e2a83ad37a98cb76b8d2b8,bnb__pancakeswap__3,10.9
0x064d89b705ee9a02f74cf5c41f7142a001cd55f8,bnb__pancakeswap__3,10.9
0xc23dd98d3ae772a420a615f8d1b202ba53588d2a,bnb__pancakeswap__3,10.9
0xd4cf3fdfe7543aa7e9c418bd347aa5de9098f285,bnb__pancakeswap__3,10.9
0xb7dce97ebdbeaff6a1556e7e23d2caccb2b51f64,bnb__pancakeswap__3,10.9
0xafb2da14056725e3ba3a30dd846b6bbbd7886c56,bnb__pancakeswap__3,10.9
0x46cf1cf8c69595804ba91dfdd8d6b960c9b0a7c4,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x90a54475d512b8f3852351611c38fad30a513491,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xe4e931ffd6b1d084906a42e7435b8d4a465006b3,bnb__pancakeswap__3,10.9
0x410a308b4a9a301753f3d163be16cfc04f607e2d,bnb__pancakeswap__3,10.9
0x99f57f58fc2d24dcad31a8e1b3ab8ca68ea8ec11,bnb__pancakeswap__3,10.9
0xe919d258baec97b6b2ef912505f08c7912d6acf0,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0xbffec96e8f3b5058b1817c14e4380758fada01ef,bnb__pancakeswap__3,10.9
0xe2d4b6cdcae99d3a7ae00f55261098f759be51bc,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0xc8255e3fa0f4c6e6678807d663f9e2263e23a8e8,bnb__pancakeswap__3,10.9
0x8b529415803587024440c409d1405744b6058da0,bnb__pancakeswap__3,10.9
0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0xacb622435b634e75b61473be6f839c46e36bd754,bnb__pancakeswap__3,10.9
0x8ba9ec5737fdcb0e472c207befe775ca94386e91,bnb__pancakeswap__3,10.9
0x0c908dd60e9fe25b22ff27a708764b8539f827ee,bnb__pancakeswap__3,10.9
0x8f45b99bf65cdbf9bc0c0b4846d6a324d2de5314,bnb__pancakeswap__3,10.9
0xc16981bd1d59c58f1ddeae40d3ab696ade49b821,bnb__pancakeswap__3,10.9
